時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,12124.0,0,0
2015年2月,10683.0,0,0
2015年3月,11182.0,0,0
2015年4月,10598.0,0,0
2015年5月,10940.0,0,0
2015年6月,12218.0,0,0
2015年7月,12094.0,0,0
2015年8月,12381.0,0,0
2015年9月,10012.0,0,0
2015年10月,10025.0,0,0
2015年11月,10639.0,0,0
2015年12月,12076.0,0,0
2016年1月,10022.0,0,0
2016年2月,10147.0,0,0
2016年3月,10654.0,0,0
2016年4月,10127.0,0,0
2016年5月,10783.0,0,0
2016年6月,11495.0,0,0
2016年7月,12192.0,0,0
2016年8月,11921.0,0,0
2016年9月,10309.0,0,0
2016年10月,10601.0,0,0
2016年11月,11036.0,0,0
2016年12月,14325.0,0,0
2017年1月,14203.0,0,0
2017年2月,12693.0,0,0
2017年3月,14250.0,0,0
2017年4月,12353.0,0,0
2017年5月,13156.0,0,0
2017年6月,13166.0,0,0
2017年7月,14502.0,0,0
2017年8月,15412.0,0,0
2017年9月,12726.0,0,0
2017年10月,13157.0,0,0
2017年11月,14253.0,0,0
2017年12月,16970.0,0,0
2018年1月,13505.0,0,0
2018年2月,12310.0,0,0
2018年3月,14598.0,0,0
2018年4月,14349.0,0,0
2018年5月,15027.0,0,0
2018年6月,15664.0,0,0
2018年7月,16781.0,0,0
2018年8月,17469.0,0,0
2018年9月,15513.0,0,0
2018年10月,15819.0,0,0
2018年11月,16651.0,0,0
2018年12月,21094.0,0,0
2019年1月,16050.0,0,0
2019年2月,15423.0,0,0
2019年3月,16836.0,0,0
2019年4月,17573.0,0,0
2019年5月,16431.0,0,0
2019年6月,18309.0,0,0
2019年7月,18065.0,0,0
2019年8月,18844.0,0,0
2019年9月,18934.0,0,0
2019年10月,15791.0,0,0
2019年11月,17377.0,0,0
2019年12月,21476.0,0,0
2020年1月,17779.0,3,1
2020年2月,16260.0,34,23
2020年3月,16398.0,489,120
2020年4月,18429.0,3748,881
2020年5月,20380.0,957,344
2020年6月,21803.0,994,133
2020年7月,20937.0,6466,983
2020年8月,21199.0,8126,2475
