時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,1205.0,0,0
2015年2月,1181.0,0,0
2015年3月,1196.0,0,0
2015年4月,1193.0,0,0
2015年5月,1229.0,0,0
2015年6月,1217.0,0,0
2015年7月,1208.0,0,0
2015年8月,1199.0,0,0
2015年9月,1146.0,0,0
2015年10月,1157.0,0,0
2015年11月,1185.0,0,0
2015年12月,1224.0,0,0
2016年1月,1152.0,0,0
2016年2月,1117.0,0,0
2016年3月,1161.0,0,0
2016年4月,1181.0,0,0
2016年5月,1211.0,0,0
2016年6月,1225.0,0,0
2016年7月,1208.0,0,0
2016年8月,1187.0,0,0
2016年9月,1214.0,0,0
2016年10月,1209.0,0,0
2016年11月,1211.0,0,0
2016年12月,1342.0,0,0
2017年1月,1344.0,0,0
2017年2月,1370.0,0,0
2017年3月,1449.0,0,0
2017年4月,1440.0,0,0
2017年5月,1467.0,0,0
2017年6月,1515.0,0,0
2017年7月,1528.0,0,0
2017年8月,1526.0,0,0
2017年9月,1531.0,0,0
2017年10月,1555.0,0,0
2017年11月,1591.0,0,0
2017年12月,1658.0,0,0
2018年1月,1549.0,0,0
2018年2月,1535.0,0,0
2018年3月,1605.0,0,0
2018年4月,1618.0,0,0
2018年5月,1653.0,0,0
2018年6月,1648.0,0,0
2018年7月,1672.0,0,0
2018年8月,1674.0,0,0
2018年9月,1653.0,0,0
2018年10月,1696.0,0,0
2018年11月,1706.0,0,0
2018年12月,1852.0,0,0
2019年1月,1720.0,0,0
2019年2月,1702.0,0,0
2019年3月,1759.0,0,0
2019年4月,1745.0,0,0
2019年5月,1747.0,0,0
2019年6月,1806.0,0,0
2019年7月,1781.0,0,0
2019年8月,1776.0,0,0
2019年9月,1781.0,0,0
2019年10月,1749.0,0,0
2019年11月,1797.0,0,0
2019年12月,1878.0,0,0
2020年1月,1755.0,3,1
2020年2月,1743.0,34,23
2020年3月,1821.0,489,120
2020年4月,1940.0,3748,881
2020年5月,2112.0,957,344
2020年6月,2102.0,994,133
2020年7月,2102.0,6466,983
2020年8月,2088.0,8126,2475
