時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,36291.0,0,0
2015年2月,33024.0,0,0
2015年3月,34140.0,0,0
2015年4月,32516.0,0,0
2015年5月,32681.0,0,0
2015年6月,36530.0,0,0
2015年7月,36301.0,0,0
2015年8月,37579.0,0,0
2015年9月,31846.0,0,0
2015年10月,31512.0,0,0
2015年11月,32713.0,0,0
2015年12月,36061.0,0,0
2016年1月,31859.0,0,0
2016年2月,33105.0,0,0
2016年3月,33508.0,0,0
2016年4月,31312.0,0,0
2016年5月,32583.0,0,0
2016年6月,34387.0,0,0
2016年7月,36934.0,0,0
2016年8月,36803.0,0,0
2016年9月,31136.0,0,0
2016年10月,32269.0,0,0
2016年11月,33488.0,0,0
2016年12月,39189.0,0,0
2017年1月,38798.0,0,0
2017年2月,34012.0,0,0
2017年3月,36122.0,0,0
2017年4月,31546.0,0,0
2017年5月,32933.0,0,0
2017年6月,31965.0,0,0
2017年7月,34907.0,0,0
2017年8月,37116.0,0,0
2017年9月,30572.0,0,0
2017年10月,31135.0,0,0
2017年11月,32911.0,0,0
2017年12月,37506.0,0,0
2018年1月,31994.0,0,0
2018年2月,29435.0,0,0
2018年3月,33460.0,0,0
2018年4月,32559.0,0,0
2018年5月,33433.0,0,0
2018年6月,35017.0,0,0
2018年7月,37014.0,0,0
2018年8月,38398.0,0,0
2018年9月,34537.0,0,0
2018年10月,34316.0,0,0
2018年11月,35936.0,0,0
2018年12月,41971.0,0,0
2019年1月,34347.0,0,0
2019年2月,33437.0,0,0
2019年3月,35298.0,0,0
2019年4月,37215.0,0,0
2019年5月,34723.0,0,0
2019年6月,37440.0,0,0
2019年7月,37497.0,0,0
2019年8月,39250.0,0,0
2019年9月,39290.0,0,0
2019年10月,33297.0,0,0
2019年11月,35749.0,0,0
2019年12月,42201.0,0,0
2020年1月,37334.0,3,1
2020年2月,34490.0,34,23
2020年3月,33264.0,489,120
2020年4月,35034.0,3748,881
2020年5月,35613.0,957,344
2020年6月,38170.0,994,133
2020年7月,36715.0,6466,983
2020年8月,37421.0,8126,2475
