時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,1929.0,0,0
2015年2月,1929.0,0,0
2015年3月,1900.0,0,0
2015年4月,1760.0,0,0
2015年5月,1763.0,0,0
2015年6月,1707.0,0,0
2015年7月,1629.0,0,0
2015年8月,1652.0,0,0
2015年9月,1626.0,0,0
2015年10月,1624.0,0,0
2015年11月,1618.0,0,0
2015年12月,1684.0,0,0
2016年1月,1646.0,0,0
2016年2月,1627.0,0,0
2016年3月,1711.0,0,0
2016年4月,1756.0,0,0
2016年5月,1809.0,0,0
2016年6月,1846.0,0,0
2016年7月,1786.0,0,0
2016年8月,1796.0,0,0
2016年9月,1851.0,0,0
2016年10月,1820.0,0,0
2016年11月,1839.0,0,0
2016年12月,2027.0,0,0
2017年1月,2071.0,0,0
2017年2月,2153.0,0,0
2017年3月,2297.0,0,0
2017年4月,2297.0,0,0
2017年5月,2403.0,0,0
2017年6月,2483.0,0,0
2017年7月,2541.0,0,0
2017年8月,2632.0,0,0
2017年9月,2663.0,0,0
2017年10月,2724.0,0,0
2017年11月,2785.0,0,0
2017年12月,2898.0,0,0
2018年1月,2713.0,0,0
2018年2月,2700.0,0,0
2018年3月,2776.0,0,0
2018年4月,2802.0,0,0
2018年5月,2878.0,0,0
2018年6月,2838.0,0,0
2018年7月,2912.0,0,0
2018年8月,2908.0,0,0
2018年9月,2875.0,0,0
2018年10月,2967.0,0,0
2018年11月,2943.0,0,0
2018年12月,3187.0,0,0
2019年1月,2976.0,0,0
2019年2月,2939.0,0,0
2019年3月,3016.0,0,0
2019年4月,2965.0,0,0
2019年5月,2957.0,0,0
2019年6月,3050.0,0,0
2019年7月,2975.0,0,0
2019年8月,2996.0,0,0
2019年9月,2963.0,0,0
2019年10月,2882.0,0,0
2019年11月,2969.0,0,0
2019年12月,3077.0,0,0
2020年1月,2902.0,3,1
2020年2月,2899.0,34,23
2020年3月,2972.0,489,120
2020年4月,3075.0,3748,881
2020年5月,3304.0,957,344
2020年6月,3448.0,994,133
2020年7月,3560.0,6466,983
2020年8月,3604.0,8126,2475
