時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,65.0,0,0
2015年2月,74.0,0,0
2015年3月,79.0,0,0
2015年4月,68.0,0,0
2015年5月,100.0,0,0
2015年6月,72.0,0,0
2015年7月,67.0,0,0
2015年8月,59.0,0,0
2015年9月,87.0,0,0
2015年10月,71.0,0,0
2015年11月,70.0,0,0
2015年12月,82.0,0,0
2016年1月,75.0,0,0
2016年2月,43.0,0,0
2016年3月,48.0,0,0
2016年4月,59.0,0,0
2016年5月,72.0,0,0
2016年6月,63.0,0,0
2016年7月,91.0,0,0
2016年8月,64.0,0,0
2016年9月,55.0,0,0
2016年10月,77.0,0,0
2016年11月,79.0,0,0
2016年12月,81.0,0,0
2017年1月,77.0,0,0
2017年2月,71.0,0,0
2017年3月,76.0,0,0
2017年4月,95.0,0,0
2017年5月,91.0,0,0
2017年6月,78.0,0,0
2017年7月,120.0,0,0
2017年8月,102.0,0,0
2017年9月,85.0,0,0
2017年10月,101.0,0,0
2017年11月,69.0,0,0
2017年12月,116.0,0,0
2018年1月,99.0,0,0
2018年2月,110.0,0,0
2018年3月,107.0,0,0
2018年4月,104.0,0,0
2018年5月,83.0,0,0
2018年6月,124.0,0,0
2018年7月,126.0,0,0
2018年8月,127.0,0,0
2018年9月,116.0,0,0
2018年10月,129.0,0,0
2018年11月,137.0,0,0
2018年12月,168.0,0,0
2019年1月,139.0,0,0
2019年2月,132.0,0,0
2019年3月,118.0,0,0
2019年4月,159.0,0,0
2019年5月,129.0,0,0
2019年6月,121.0,0,0
2019年7月,160.0,0,0
2019年8月,150.0,0,0
2019年9月,153.0,0,0
2019年10月,169.0,0,0
2019年11月,189.0,0,0
2019年12月,177.0,0,0
2020年1月,174.0,3,1
2020年2月,155.0,34,23
2020年3月,178.0,489,120
2020年4月,221.0,3748,881
2020年5月,247.0,957,344
2020年6月,233.0,994,133
2020年7月,241.0,6466,983
2020年8月,259.0,8126,2475
