時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,389.0,0,0
2015年2月,482.0,0,0
2015年3月,393.0,0,0
2015年4月,500.0,0,0
2015年5月,488.0,0,0
2015年6月,521.0,0,0
2015年7月,533.0,0,0
2015年8月,450.0,0,0
2015年9月,462.0,0,0
2015年10月,413.0,0,0
2015年11月,430.0,0,0
2015年12月,446.0,0,0
2016年1月,314.0,0,0
2016年2月,468.0,0,0
2016年3月,423.0,0,0
2016年4月,365.0,0,0
2016年5月,438.0,0,0
2016年6月,422.0,0,0
2016年7月,487.0,0,0
2016年8月,490.0,0,0
2016年9月,426.0,0,0
2016年10月,511.0,0,0
2016年11月,472.0,0,0
2016年12月,403.0,0,0
2017年1月,406.0,0,0
2017年2月,448.0,0,0
2017年3月,532.0,0,0
2017年4月,638.0,0,0
2017年5月,538.0,0,0
2017年6月,688.0,0,0
2017年7月,619.0,0,0
2017年8月,715.0,0,0
2017年9月,650.0,0,0
2017年10月,591.0,0,0
2017年11月,605.0,0,0
2017年12月,581.0,0,0
2018年1月,382.0,0,0
2018年2月,545.0,0,0
2018年3月,619.0,0,0
2018年4月,785.0,0,0
2018年5月,722.0,0,0
2018年6月,750.0,0,0
2018年7月,828.0,0,0
2018年8月,718.0,0,0
2018年9月,768.0,0,0
2018年10月,741.0,0,0
2018年11月,907.0,0,0
2018年12月,714.0,0,0
2019年1月,766.0,0,0
2019年2月,757.0,0,0
2019年3月,1005.0,0,0
2019年4月,992.0,0,0
2019年5月,907.0,0,0
2019年6月,1401.0,0,0
2019年7月,963.0,0,0
2019年8月,890.0,0,0
2019年9月,916.0,0,0
2019年10月,778.0,0,0
2019年11月,809.0,0,0
2019年12月,1006.0,0,0
2020年1月,699.0,3,1
2020年2月,633.0,34,23
2020年3月,348.0,489,120
2020年4月,142.0,3748,881
2020年5月,35.0,957,344
2020年6月,141.0,994,133
2020年7月,341.0,6466,983
2020年8月,420.0,8126,2475
