時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,1634.0,0,0
2015年2月,1302.0,0,0
2015年3月,1319.0,0,0
2015年4月,1466.0,0,0
2015年5月,1332.0,0,0
2015年6月,1677.0,0,0
2015年7月,1260.0,0,0
2015年8月,1379.0,0,0
2015年9月,1284.0,0,0
2015年10月,1264.0,0,0
2015年11月,1359.0,0,0
2015年12月,1578.0,0,0
2016年1月,1338.0,0,0
2016年2月,1169.0,0,0
2016年3月,1491.0,0,0
2016年4月,1274.0,0,0
2016年5月,1459.0,0,0
2016年6月,1646.0,0,0
2016年7月,1232.0,0,0
2016年8月,1326.0,0,0
2016年9月,1247.0,0,0
2016年10月,1340.0,0,0
2016年11月,1310.0,0,0
2016年12月,1854.0,0,0
2017年1月,1989.0,0,0
2017年2月,1743.0,0,0
2017年3月,1885.0,0,0
2017年4月,1706.0,0,0
2017年5月,1751.0,0,0
2017年6月,1674.0,0,0
2017年7月,1728.0,0,0
2017年8月,1745.0,0,0
2017年9月,1814.0,0,0
2017年10月,1828.0,0,0
2017年11月,1881.0,0,0
2017年12月,2288.0,0,0
2018年1月,2115.0,0,0
2018年2月,1824.0,0,0
2018年3月,1903.0,0,0
2018年4月,2016.0,0,0
2018年5月,1997.0,0,0
2018年6月,1821.0,0,0
2018年7月,1839.0,0,0
2018年8月,1906.0,0,0
2018年9月,1913.0,0,0
2018年10月,2075.0,0,0
2018年11月,2107.0,0,0
2018年12月,2597.0,0,0
2019年1月,2120.0,0,0
2019年2月,2147.0,0,0
2019年3月,2234.0,0,0
2019年4月,2073.0,0,0
2019年5月,2094.0,0,0
2019年6月,2329.0,0,0
2019年7月,2245.0,0,0
2019年8月,2071.0,0,0
2019年9月,3011.0,0,0
2019年10月,2064.0,0,0
2019年11月,2295.0,0,0
2019年12月,2877.0,0,0
2020年1月,2501.0,3,1
2020年2月,2368.0,34,23
2020年3月,2915.0,489,120
2020年4月,3325.0,3748,881
2020年5月,3375.0,957,344
2020年6月,3710.0,994,133
2020年7月,3428.0,6466,983
2020年8月,3741.0,8126,2475
