時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,59.2,0,0
2015年2月,59.2,0,0
2015年3月,59.3,0,0
2015年4月,59.5,0,0
2015年5月,59.4,0,0
2015年6月,59.0,0,0
2015年7月,59.6,0,0
2015年8月,59.8,0,0
2015年9月,59.8,0,0
2015年10月,60.2,0,0
2015年11月,60.5,0,0
2015年12月,61.0,0,0
2016年1月,60.8,0,0
2016年2月,60.8,0,0
2016年3月,60.8,0,0
2016年4月,60.7,0,0
2016年5月,60.6,0,0
2016年6月,60.6,0,0
2016年7月,60.7,0,0
2016年8月,60.6,0,0
2016年9月,60.6,0,0
2016年10月,60.5,0,0
2016年11月,60.5,0,0
2016年12月,60.4,0,0
2017年1月,60.4,0,0
2017年2月,60.4,0,0
2017年3月,60.3,0,0
2017年4月,60.6,0,0
2017年5月,60.6,0,0
2017年6月,60.6,0,0
2017年7月,60.7,0,0
2017年8月,60.6,0,0
2017年9月,60.6,0,0
2017年10月,60.5,0,0
2017年11月,60.5,0,0
2017年12月,60.5,0,0
2018年1月,60.5,0,0
2018年2月,60.4,0,0
2018年3月,60.5,0,0
2018年4月,60.3,0,0
2018年5月,60.2,0,0
2018年6月,60.4,0,0
2018年7月,60.4,0,0
2018年8月,60.4,0,0
2018年9月,60.3,0,0
2018年10月,60.3,0,0
2018年11月,60.3,0,0
2018年12月,60.3,0,0
2019年1月,60.3,0,0
2019年2月,60.4,0,0
2019年3月,60.1,0,0
2019年4月,60.3,0,0
2019年5月,60.3,0,0
2019年6月,60.3,0,0
2019年7月,60.5,0,0
2019年8月,60.4,0,0
2019年9月,60.5,0,0
2019年10月,60.6,0,0
2019年11月,60.8,0,0
2019年12月,60.7,0,0
2020年1月,60.8,3,1
2020年2月,60.8,34,23
2020年3月,60.8,489,120
2020年4月,60.7,3748,881
2020年5月,60.3,957,344
2020年6月,59.9,994,133
2020年7月,59.9,6466,983
2020年8月,59.8,8126,2475
