時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,2.99,0,0
2015年2月,2.98,0,0
2015年3月,2.98,0,0
2015年4月,2.97,0,0
2015年5月,2.97,0,0
2015年6月,2.98,0,0
2015年7月,2.98,0,0
2015年8月,2.97,0,0
2015年9月,2.99,0,0
2015年10月,2.98,0,0
2015年11月,2.98,0,0
2015年12月,2.98,0,0
2016年1月,2.98,0,0
2016年2月,2.97,0,0
2016年3月,2.97,0,0
2016年4月,2.97,0,0
2016年5月,2.97,0,0
2016年6月,2.97,0,0
2016年7月,2.97,0,0
2016年8月,2.97,0,0
2016年9月,2.96,0,0
2016年10月,2.96,0,0
2016年11月,2.96,0,0
2016年12月,2.96,0,0
2017年1月,2.96,0,0
2017年2月,2.96,0,0
2017年3月,2.96,0,0
2017年4月,2.96,0,0
2017年5月,2.96,0,0
2017年6月,2.96,0,0
2017年7月,2.96,0,0
2017年8月,2.96,0,0
2017年9月,2.96,0,0
2017年10月,2.96,0,0
2017年11月,2.96,0,0
2017年12月,2.95,0,0
2018年1月,2.95,0,0
2018年2月,2.95,0,0
2018年3月,2.95,0,0
2018年4月,2.95,0,0
2018年5月,2.95,0,0
2018年6月,2.95,0,0
2018年7月,2.94,0,0
2018年8月,2.95,0,0
2018年9月,2.95,0,0
2018年10月,2.95,0,0
2018年11月,2.95,0,0
2018年12月,2.95,0,0
2019年1月,2.95,0,0
2019年2月,2.95,0,0
2019年3月,2.94,0,0
2019年4月,2.94,0,0
2019年5月,2.94,0,0
2019年6月,2.94,0,0
2019年7月,2.93,0,0
2019年8月,2.93,0,0
2019年9月,2.93,0,0
2019年10月,2.93,0,0
2019年11月,2.93,0,0
2019年12月,2.92,0,0
2020年1月,2.93,3,1
2020年2月,2.93,34,23
2020年3月,2.93,489,120
2020年4月,2.93,3748,881
2020年5月,2.93,957,344
2020年6月,2.94,994,133
2020年7月,2.93,6466,983
2020年8月,2.93,8126,2475
