時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,3608.0,0,0
2015年2月,3652.0,0,0
2015年3月,3652.0,0,0
2015年4月,3659.0,0,0
2015年5月,3670.0,0,0
2015年6月,3638.0,0,0
2015年7月,3625.0,0,0
2015年8月,3638.0,0,0
2015年9月,3647.0,0,0
2015年10月,3636.0,0,0
2015年11月,3643.0,0,0
2015年12月,3655.0,0,0
2016年1月,3661.0,0,0
2016年2月,3645.0,0,0
2016年3月,3651.0,0,0
2016年4月,3652.0,0,0
2016年5月,3660.0,0,0
2016年6月,3666.0,0,0
2016年7月,3661.0,0,0
2016年8月,3664.0,0,0
2016年9月,3668.0,0,0
2016年10月,3681.0,0,0
2016年11月,3675.0,0,0
2016年12月,3670.0,0,0
2017年1月,3671.0,0,0
2017年2月,3672.0,0,0
2017年3月,3672.0,0,0
2017年4月,3678.0,0,0
2017年5月,3672.0,0,0
2017年6月,3677.0,0,0
2017年7月,3678.0,0,0
2017年8月,3676.0,0,0
2017年9月,3678.0,0,0
2017年10月,3680.0,0,0
2017年11月,3673.0,0,0
2017年12月,3664.0,0,0
2018年1月,3670.0,0,0
2018年2月,3671.0,0,0
2018年3月,3679.0,0,0
2018年4月,3671.0,0,0
2018年5月,3679.0,0,0
2018年6月,3685.0,0,0
2018年7月,3687.0,0,0
2018年8月,3679.0,0,0
2018年9月,3681.0,0,0
2018年10月,3679.0,0,0
2018年11月,3683.0,0,0
2018年12月,3686.0,0,0
2019年1月,3680.0,0,0
2019年2月,3690.0,0,0
2019年3月,3688.0,0,0
2019年4月,3695.0,0,0
2019年5月,3692.0,0,0
2019年6月,3692.0,0,0
2019年7月,3696.0,0,0
2019年8月,3699.0,0,0
2019年9月,3696.0,0,0
2019年10月,3688.0,0,0
2019年11月,3696.0,0,0
2019年12月,3690.0,0,0
2020年1月,3685.0,3,1
2020年2月,3697.0,34,23
2020年3月,3693.0,489,120
2020年4月,3687.0,3748,881
2020年5月,3690.0,957,344
2020年6月,3680.0,994,133
2020年7月,3685.0,6466,983
2020年8月,3687.0,8126,2475
