時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,688.0,0,0
2015年2月,598.0,0,0
2015年3月,712.0,0,0
2015年4月,543.0,0,0
2015年5月,509.0,0,0
2015年6月,544.0,0,0
2015年7月,500.0,0,0
2015年8月,538.0,0,0
2015年9月,444.0,0,0
2015年10月,409.0,0,0
2015年11月,437.0,0,0
2015年12月,415.0,0,0
2016年1月,468.0,0,0
2016年2月,460.0,0,0
2016年3月,430.0,0,0
2016年4月,456.0,0,0
2016年5月,514.0,0,0
2016年6月,592.0,0,0
2016年7月,450.0,0,0
2016年8月,506.0,0,0
2016年9月,431.0,0,0
2016年10月,416.0,0,0
2016年11月,384.0,0,0
2016年12月,517.0,0,0
2017年1月,632.0,0,0
2017年2月,606.0,0,0
2017年3月,707.0,0,0
2017年4月,598.0,0,0
2017年5月,622.0,0,0
2017年6月,435.0,0,0
2017年7月,289.0,0,0
2017年8月,404.0,0,0
2017年9月,466.0,0,0
2017年10月,584.0,0,0
2017年11月,546.0,0,0
2017年12月,589.0,0,0
2018年1月,512.0,0,0
2018年2月,523.0,0,0
2018年3月,597.0,0,0
2018年4月,602.0,0,0
2018年5月,549.0,0,0
2018年6月,642.0,0,0
2018年7月,697.0,0,0
2018年8月,600.0,0,0
2018年9月,620.0,0,0
2018年10月,585.0,0,0
2018年11月,514.0,0,0
2018年12月,596.0,0,0
2019年1月,634.0,0,0
2019年2月,683.0,0,0
2019年3月,745.0,0,0
2019年4月,710.0,0,0
2019年5月,761.0,0,0
2019年6月,808.0,0,0
2019年7月,760.0,0,0
2019年8月,860.0,0,0
2019年9月,640.0,0,0
2019年10月,689.0,0,0
2019年11月,648.0,0,0
2019年12月,673.0,0,0
2020年1月,689.0,3,1
2020年2月,818.0,34,23
2020年3月,1005.0,489,120
2020年4月,1279.0,3748,881
2020年5月,1217.0,957,344
2020年6月,944.0,994,133
2020年7月,974.0,6466,983
2020年8月,1016.0,8126,2475
