時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,373.0,0,0
2015年2月,305.0,0,0
2015年3月,351.0,0,0
2015年4月,343.0,0,0
2015年5月,354.0,0,0
2015年6月,347.0,0,0
2015年7月,338.0,0,0
2015年8月,333.0,0,0
2015年9月,367.0,0,0
2015年10月,386.0,0,0
2015年11月,350.0,0,0
2015年12月,374.0,0,0
2016年1月,374.0,0,0
2016年2月,378.0,0,0
2016年3月,379.0,0,0
2016年4月,351.0,0,0
2016年5月,381.0,0,0
2016年6月,390.0,0,0
2016年7月,388.0,0,0
2016年8月,358.0,0,0
2016年9月,406.0,0,0
2016年10月,410.0,0,0
2016年11月,399.0,0,0
2016年12月,368.0,0,0
2017年1月,534.0,0,0
2017年2月,519.0,0,0
2017年3月,470.0,0,0
2017年4月,490.0,0,0
2017年5月,558.0,0,0
2017年6月,527.0,0,0
2017年7月,574.0,0,0
2017年8月,609.0,0,0
2017年9月,576.0,0,0
2017年10月,524.0,0,0
2017年11月,552.0,0,0
2017年12月,486.0,0,0
2018年1月,531.0,0,0
2018年2月,499.0,0,0
2018年3月,527.0,0,0
2018年4月,523.0,0,0
2018年5月,548.0,0,0
2018年6月,632.0,0,0
2018年7月,608.0,0,0
2018年8月,588.0,0,0
2018年9月,673.0,0,0
2018年10月,653.0,0,0
2018年11月,623.0,0,0
2018年12月,702.0,0,0
2019年1月,636.0,0,0
2019年2月,659.0,0,0
2019年3月,646.0,0,0
2019年4月,627.0,0,0
2019年5月,682.0,0,0
2019年6月,586.0,0,0
2019年7月,604.0,0,0
2019年8月,562.0,0,0
2019年9月,659.0,0,0
2019年10月,672.0,0,0
2019年11月,608.0,0,0
2019年12月,640.0,0,0
2020年1月,596.0,3,1
2020年2月,637.0,34,23
2020年3月,644.0,489,120
2020年4月,721.0,3748,881
2020年5月,773.0,957,344
2020年6月,761.0,994,133
2020年7月,745.0,6466,983
2020年8月,833.0,8126,2475
