時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,121.0,0,0
2015年2月,70.0,0,0
2015年3月,63.0,0,0
2015年4月,73.0,0,0
2015年5月,60.0,0,0
2015年6月,68.0,0,0
2015年7月,72.0,0,0
2015年8月,87.0,0,0
2015年9月,73.0,0,0
2015年10月,80.0,0,0
2015年11月,85.0,0,0
2015年12月,96.0,0,0
2016年1月,108.0,0,0
2016年2月,75.0,0,0
2016年3月,82.0,0,0
2016年4月,97.0,0,0
2016年5月,88.0,0,0
2016年6月,84.0,0,0
2016年7月,78.0,0,0
2016年8月,86.0,0,0
2016年9月,97.0,0,0
2016年10月,90.0,0,0
2016年11月,88.0,0,0
2016年12月,136.0,0,0
2017年1月,213.0,0,0
2017年2月,148.0,0,0
2017年3月,151.0,0,0
2017年4月,170.0,0,0
2017年5月,173.0,0,0
2017年6月,164.0,0,0
2017年7月,135.0,0,0
2017年8月,145.0,0,0
2017年9月,129.0,0,0
2017年10月,157.0,0,0
2017年11月,162.0,0,0
2017年12月,261.0,0,0
2018年1月,202.0,0,0
2018年2月,150.0,0,0
2018年3月,178.0,0,0
2018年4月,136.0,0,0
2018年5月,158.0,0,0
2018年6月,182.0,0,0
2018年7月,188.0,0,0
2018年8月,231.0,0,0
2018年9月,214.0,0,0
2018年10月,269.0,0,0
2018年11月,206.0,0,0
2018年12月,284.0,0,0
2019年1月,201.0,0,0
2019年2月,201.0,0,0
2019年3月,220.0,0,0
2019年4月,261.0,0,0
2019年5月,221.0,0,0
2019年6月,257.0,0,0
2019年7月,208.0,0,0
2019年8月,274.0,0,0
2019年9月,214.0,0,0
2019年10月,201.0,0,0
2019年11月,260.0,0,0
2019年12月,392.0,0,0
2020年1月,285.0,3,1
2020年2月,269.0,34,23
2020年3月,320.0,489,120
2020年4月,507.0,3748,881
2020年5月,637.0,957,344
2020年6月,518.0,994,133
2020年7月,500.0,6466,983
2020年8月,506.0,8126,2475
