時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,482.0,0,0
2015年2月,444.0,0,0
2015年3月,462.0,0,0
2015年4月,452.0,0,0
2015年5月,383.0,0,0
2015年6月,422.0,0,0
2015年7月,396.0,0,0
2015年8月,342.0,0,0
2015年9月,272.0,0,0
2015年10月,405.0,0,0
2015年11月,391.0,0,0
2015年12月,366.0,0,0
2016年1月,357.0,0,0
2016年2月,404.0,0,0
2016年3月,374.0,0,0
2016年4月,426.0,0,0
2016年5月,408.0,0,0
2016年6月,422.0,0,0
2016年7月,399.0,0,0
2016年8月,375.0,0,0
2016年9月,363.0,0,0
2016年10月,427.0,0,0
2016年11月,367.0,0,0
2016年12月,485.0,0,0
2017年1月,401.0,0,0
2017年2月,461.0,0,0
2017年3月,432.0,0,0
2017年4月,458.0,0,0
2017年5月,462.0,0,0
2017年6月,476.0,0,0
2017年7月,462.0,0,0
2017年8月,484.0,0,0
2017年9月,466.0,0,0
2017年10月,499.0,0,0
2017年11月,587.0,0,0
2017年12月,539.0,0,0
2018年1月,487.0,0,0
2018年2月,477.0,0,0
2018年3月,489.0,0,0
2018年4月,463.0,0,0
2018年5月,585.0,0,0
2018年6月,530.0,0,0
2018年7月,560.0,0,0
2018年8月,552.0,0,0
2018年9月,518.0,0,0
2018年10月,543.0,0,0
2018年11月,582.0,0,0
2018年12月,625.0,0,0
2019年1月,568.0,0,0
2019年2月,617.0,0,0
2019年3月,573.0,0,0
2019年4月,638.0,0,0
2019年5月,515.0,0,0
2019年6月,534.0,0,0
2019年7月,507.0,0,0
2019年8月,573.0,0,0
2019年9月,705.0,0,0
2019年10月,498.0,0,0
2019年11月,548.0,0,0
2019年12月,597.0,0,0
2020年1月,572.0,3,1
2020年2月,565.0,34,23
2020年3月,616.0,489,120
2020年4月,742.0,3748,881
2020年5月,798.0,957,344
2020年6月,807.0,994,133
2020年7月,768.0,6466,983
2020年8月,804.0,8126,2475
