時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,114.0,0,0
2015年2月,133.0,0,0
2015年3月,102.0,0,0
2015年4月,107.0,0,0
2015年5月,128.0,0,0
2015年6月,120.0,0,0
2015年7月,93.0,0,0
2015年8月,73.0,0,0
2015年9月,116.0,0,0
2015年10月,77.0,0,0
2015年11月,84.0,0,0
2015年12月,101.0,0,0
2016年1月,91.0,0,0
2016年2月,85.0,0,0
2016年3月,115.0,0,0
2016年4月,86.0,0,0
2016年5月,97.0,0,0
2016年6月,85.0,0,0
2016年7月,86.0,0,0
2016年8月,104.0,0,0
2016年9月,104.0,0,0
2016年10月,97.0,0,0
2016年11月,141.0,0,0
2016年12月,92.0,0,0
2017年1月,110.0,0,0
2017年2月,121.0,0,0
2017年3月,103.0,0,0
2017年4月,103.0,0,0
2017年5月,126.0,0,0
2017年6月,111.0,0,0
2017年7月,132.0,0,0
2017年8月,103.0,0,0
2017年9月,131.0,0,0
2017年10月,107.0,0,0
2017年11月,133.0,0,0
2017年12月,136.0,0,0
2018年1月,122.0,0,0
2018年2月,126.0,0,0
2018年3月,128.0,0,0
2018年4月,121.0,0,0
2018年5月,153.0,0,0
2018年6月,169.0,0,0
2018年7月,139.0,0,0
2018年8月,113.0,0,0
2018年9月,139.0,0,0
2018年10月,145.0,0,0
2018年11月,175.0,0,0
2018年12月,157.0,0,0
2019年1月,161.0,0,0
2019年2月,126.0,0,0
2019年3月,149.0,0,0
2019年4月,174.0,0,0
2019年5月,148.0,0,0
2019年6月,171.0,0,0
2019年7月,154.0,0,0
2019年8月,162.0,0,0
2019年9月,209.0,0,0
2019年10月,147.0,0,0
2019年11月,162.0,0,0
2019年12月,174.0,0,0
2020年1月,215.0,3,1
2020年2月,235.0,34,23
2020年3月,225.0,489,120
2020年4月,364.0,3748,881
2020年5月,325.0,957,344
2020年6月,311.0,994,133
2020年7月,262.0,6466,983
2020年8月,269.0,8126,2475
