時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,636.0,0,0
2015年2月,587.0,0,0
2015年3月,555.0,0,0
2015年4月,526.0,0,0
2015年5月,549.0,0,0
2015年6月,633.0,0,0
2015年7月,520.0,0,0
2015年8月,465.0,0,0
2015年9月,521.0,0,0
2015年10月,507.0,0,0
2015年11月,579.0,0,0
2015年12月,544.0,0,0
2016年1月,438.0,0,0
2016年2月,474.0,0,0
2016年3月,460.0,0,0
2016年4月,546.0,0,0
2016年5月,449.0,0,0
2016年6月,598.0,0,0
2016年7月,543.0,0,0
2016年8月,464.0,0,0
2016年9月,460.0,0,0
2016年10月,648.0,0,0
2016年11月,632.0,0,0
2016年12月,720.0,0,0
2017年1月,838.0,0,0
2017年2月,721.0,0,0
2017年3月,635.0,0,0
2017年4月,560.0,0,0
2017年5月,699.0,0,0
2017年6月,690.0,0,0
2017年7月,684.0,0,0
2017年8月,629.0,0,0
2017年9月,612.0,0,0
2017年10月,879.0,0,0
2017年11月,911.0,0,0
2017年12月,856.0,0,0
2018年1月,870.0,0,0
2018年2月,848.0,0,0
2018年3月,731.0,0,0
2018年4月,880.0,0,0
2018年5月,821.0,0,0
2018年6月,783.0,0,0
2018年7月,893.0,0,0
2018年8月,690.0,0,0
2018年9月,894.0,0,0
2018年10月,945.0,0,0
2018年11月,1050.0,0,0
2018年12月,1194.0,0,0
2019年1月,1067.0,0,0
2019年2月,832.0,0,0
2019年3月,924.0,0,0
2019年4月,946.0,0,0
2019年5月,858.0,0,0
2019年6月,913.0,0,0
2019年7月,905.0,0,0
2019年8月,712.0,0,0
2019年9月,793.0,0,0
2019年10月,853.0,0,0
2019年11月,1152.0,0,0
2019年12月,1134.0,0,0
2020年1月,1015.0,3,1
2020年2月,805.0,34,23
2020年3月,815.0,489,120
2020年4月,924.0,3748,881
2020年5月,1222.0,957,344
2020年6月,1299.0,994,133
2020年7月,1119.0,6466,983
2020年8月,979.0,8126,2475
