時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,993.0,0,0
2015年2月,874.0,0,0
2015年3月,1099.0,0,0
2015年4月,659.0,0,0
2015年5月,698.0,0,0
2015年6月,844.0,0,0
2015年7月,921.0,0,0
2015年8月,891.0,0,0
2015年9月,753.0,0,0
2015年10月,805.0,0,0
2015年11月,811.0,0,0
2015年12月,988.0,0,0
2016年1月,891.0,0,0
2016年2月,678.0,0,0
2016年3月,1074.0,0,0
2016年4月,747.0,0,0
2016年5月,890.0,0,0
2016年6月,540.0,0,0
2016年7月,784.0,0,0
2016年8月,703.0,0,0
2016年9月,702.0,0,0
2016年10月,801.0,0,0
2016年11月,860.0,0,0
2016年12月,1205.0,0,0
2017年1月,876.0,0,0
2017年2月,826.0,0,0
2017年3月,915.0,0,0
2017年4月,635.0,0,0
2017年5月,1017.0,0,0
2017年6月,780.0,0,0
2017年7月,923.0,0,0
2017年8月,823.0,0,0
2017年9月,742.0,0,0
2017年10月,821.0,0,0
2017年11月,804.0,0,0
2017年12月,1223.0,0,0
2018年1月,856.0,0,0
2018年2月,742.0,0,0
2018年3月,883.0,0,0
2018年4月,668.0,0,0
2018年5月,715.0,0,0
2018年6月,612.0,0,0
2018年7月,924.0,0,0
2018年8月,692.0,0,0
2018年9月,844.0,0,0
2018年10月,871.0,0,0
2018年11月,1049.0,0,0
2018年12月,1584.0,0,0
2019年1月,1103.0,0,0
2019年2月,725.0,0,0
2019年3月,1286.0,0,0
2019年4月,875.0,0,0
2019年5月,861.0,0,0
2019年6月,945.0,0,0
2019年7月,1142.0,0,0
2019年8月,1223.0,0,0
2019年9月,1836.0,0,0
2019年10月,924.0,0,0
2019年11月,1152.0,0,0
2019年12月,1714.0,0,0
2020年1月,1509.0,3,1
2020年2月,1234.0,34,23
2020年3月,1416.0,489,120
2020年4月,1862.0,3748,881
2020年5月,2253.0,957,344
2020年6月,2146.0,994,133
2020年7月,1856.0,6466,983
2020年8月,1674.0,8126,2475
