時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,833.0,0,0
2015年2月,388.0,0,0
2015年3月,742.0,0,0
2015年4月,602.0,0,0
2015年5月,836.0,0,0
2015年6月,946.0,0,0
2015年7月,1008.0,0,0
2015年8月,1678.0,0,0
2015年9月,660.0,0,0
2015年10月,752.0,0,0
2015年11月,685.0,0,0
2015年12月,643.0,0,0
2016年1月,662.0,0,0
2016年2月,576.0,0,0
2016年3月,752.0,0,0
2016年4月,614.0,0,0
2016年5月,811.0,0,0
2016年6月,700.0,0,0
2016年7月,807.0,0,0
2016年8月,1393.0,0,0
2016年9月,645.0,0,0
2016年10月,687.0,0,0
2016年11月,551.0,0,0
2016年12月,611.0,0,0
2017年1月,1110.0,0,0
2017年2月,617.0,0,0
2017年3月,991.0,0,0
2017年4月,1070.0,0,0
2017年5月,972.0,0,0
2017年6月,591.0,0,0
2017年7月,1047.0,0,0
2017年8月,1819.0,0,0
2017年9月,967.0,0,0
2017年10月,928.0,0,0
2017年11月,908.0,0,0
2017年12月,911.0,0,0
2018年1月,702.0,0,0
2018年2月,806.0,0,0
2018年3月,1034.0,0,0
2018年4月,976.0,0,0
2018年5月,996.0,0,0
2018年6月,983.0,0,0
2018年7月,1031.0,0,0
2018年8月,1951.0,0,0
2018年9月,999.0,0,0
2018年10月,965.0,0,0
2018年11月,895.0,0,0
2018年12月,786.0,0,0
2019年1月,1015.0,0,0
2019年2月,769.0,0,0
2019年3月,1132.0,0,0
2019年4月,1380.0,0,0
2019年5月,1270.0,0,0
2019年6月,910.0,0,0
2019年7月,1380.0,0,0
2019年8月,2202.0,0,0
2019年9月,1097.0,0,0
2019年10月,1053.0,0,0
2019年11月,930.0,0,0
2019年12月,1062.0,0,0
2020年1月,822.0,3,1
2020年2月,720.0,34,23
2020年3月,457.0,489,120
2020年4月,109.0,3748,881
2020年5月,66.0,957,344
2020年6月,331.0,994,133
2020年7月,622.0,6466,983
2020年8月,1237.0,8126,2475
