時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,344.0,0,0
2015年2月,311.0,0,0
2015年3月,319.0,0,0
2015年4月,331.0,0,0
2015年5月,313.0,0,0
2015年6月,270.0,0,0
2015年7月,277.0,0,0
2015年8月,253.0,0,0
2015年9月,322.0,0,0
2015年10月,305.0,0,0
2015年11月,332.0,0,0
2015年12月,233.0,0,0
2016年1月,272.0,0,0
2016年2月,242.0,0,0
2016年3月,336.0,0,0
2016年4月,321.0,0,0
2016年5月,391.0,0,0
2016年6月,371.0,0,0
2016年7月,316.0,0,0
2016年8月,252.0,0,0
2016年9月,284.0,0,0
2016年10月,329.0,0,0
2016年11月,398.0,0,0
2016年12月,400.0,0,0
2017年1月,366.0,0,0
2017年2月,367.0,0,0
2017年3月,385.0,0,0
2017年4月,340.0,0,0
2017年5月,337.0,0,0
2017年6月,394.0,0,0
2017年7月,349.0,0,0
2017年8月,306.0,0,0
2017年9月,345.0,0,0
2017年10月,456.0,0,0
2017年11月,429.0,0,0
2017年12月,486.0,0,0
2018年1月,416.0,0,0
2018年2月,333.0,0,0
2018年3月,423.0,0,0
2018年4月,414.0,0,0
2018年5月,396.0,0,0
2018年6月,461.0,0,0
2018年7月,457.0,0,0
2018年8月,329.0,0,0
2018年9月,432.0,0,0
2018年10月,470.0,0,0
2018年11月,484.0,0,0
2018年12月,484.0,0,0
2019年1月,466.0,0,0
2019年2月,393.0,0,0
2019年3月,431.0,0,0
2019年4月,522.0,0,0
2019年5月,471.0,0,0
2019年6月,501.0,0,0
2019年7月,420.0,0,0
2019年8月,374.0,0,0
2019年9月,447.0,0,0
2019年10月,435.0,0,0
2019年11月,524.0,0,0
2019年12月,495.0,0,0
2020年1月,452.0,3,1
2020年2月,423.0,34,23
2020年3月,445.0,489,120
2020年4月,490.0,3748,881
2020年5月,608.0,957,344
2020年6月,711.0,994,133
2020年7月,573.0,6466,983
2020年8月,498.0,8126,2475
