時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,306.0,0,0
2015年2月,296.0,0,0
2015年3月,292.0,0,0
2015年4月,285.0,0,0
2015年5月,296.0,0,0
2015年6月,307.0,0,0
2015年7月,318.0,0,0
2015年8月,293.0,0,0
2015年9月,259.0,0,0
2015年10月,298.0,0,0
2015年11月,247.0,0,0
2015年12月,293.0,0,0
2016年1月,289.0,0,0
2016年2月,316.0,0,0
2016年3月,271.0,0,0
2016年4月,272.0,0,0
2016年5月,281.0,0,0
2016年6月,236.0,0,0
2016年7月,251.0,0,0
2016年8月,239.0,0,0
2016年9月,233.0,0,0
2016年10月,222.0,0,0
2016年11月,252.0,0,0
2016年12月,294.0,0,0
2017年1月,335.0,0,0
2017年2月,283.0,0,0
2017年3月,314.0,0,0
2017年4月,318.0,0,0
2017年5月,291.0,0,0
2017年6月,280.0,0,0
2017年7月,315.0,0,0
2017年8月,329.0,0,0
2017年9月,328.0,0,0
2017年10月,291.0,0,0
2017年11月,329.0,0,0
2017年12月,356.0,0,0
2018年1月,339.0,0,0
2018年2月,332.0,0,0
2018年3月,346.0,0,0
2018年4月,367.0,0,0
2018年5月,371.0,0,0
2018年6月,345.0,0,0
2018年7月,362.0,0,0
2018年8月,349.0,0,0
2018年9月,353.0,0,0
2018年10月,374.0,0,0
2018年11月,350.0,0,0
2018年12月,453.0,0,0
2019年1月,378.0,0,0
2019年2月,347.0,0,0
2019年3月,374.0,0,0
2019年4月,388.0,0,0
2019年5月,339.0,0,0
2019年6月,339.0,0,0
2019年7月,364.0,0,0
2019年8月,328.0,0,0
2019年9月,383.0,0,0
2019年10月,372.0,0,0
2019年11月,340.0,0,0
2019年12月,472.0,0,0
2020年1月,370.0,3,1
2020年2月,368.0,34,23
2020年3月,441.0,489,120
2020年4月,615.0,3748,881
2020年5月,726.0,957,344
2020年6月,590.0,994,133
2020年7月,582.0,6466,983
2020年8月,552.0,8126,2475
