時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,1.48,0,0
2015年2月,1.46,0,0
2015年3月,1.45,0,0
2015年4月,1.45,0,0
2015年5月,1.45,0,0
2015年6月,1.44,0,0
2015年7月,1.43,0,0
2015年8月,1.43,0,0
2015年9月,1.43,0,0
2015年10月,1.44,0,0
2015年11月,1.43,0,0
2015年12月,1.44,0,0
2016年1月,1.42,0,0
2016年2月,1.44,0,0
2016年3月,1.44,0,0
2016年4月,1.45,0,0
2016年5月,1.45,0,0
2016年6月,1.45,0,0
2016年7月,1.46,0,0
2016年8月,1.45,0,0
2016年9月,1.45,0,0
2016年10月,1.45,0,0
2016年11月,1.45,0,0
2016年12月,1.45,0,0
2017年1月,1.46,0,0
2017年2月,1.46,0,0
2017年3月,1.46,0,0
2017年4月,1.47,0,0
2017年5月,1.46,0,0
2017年6月,1.47,0,0
2017年7月,1.48,0,0
2017年8月,1.47,0,0
2017年9月,1.48,0,0
2017年10月,1.47,0,0
2017年11月,1.48,0,0
2017年12月,1.46,0,0
2018年1月,1.47,0,0
2018年2月,1.46,0,0
2018年3月,1.46,0,0
2018年4月,1.47,0,0
2018年5月,1.49,0,0
2018年6月,1.48,0,0
2018年7月,1.49,0,0
2018年8月,1.49,0,0
2018年9月,1.48,0,0
2018年10月,1.48,0,0
2018年11月,1.48,0,0
2018年12月,1.48,0,0
2019年1月,1.49,0,0
2019年2月,1.48,0,0
2019年3月,1.49,0,0
2019年4月,1.47,0,0
2019年5月,1.48,0,0
2019年6月,1.48,0,0
2019年7月,1.48,0,0
2019年8月,1.48,0,0
2019年9月,1.48,0,0
2019年10月,1.49,0,0
2019年11月,1.49,0,0
2019年12月,1.5,0,0
2020年1月,1.49,3,1
2020年2月,1.49,34,23
2020年3月,1.49,489,120
2020年4月,1.5,3748,881
2020年5月,1.51,957,344
2020年6月,1.51,994,133
2020年7月,1.52,6466,983
2020年8月,1.51,8126,2475
