時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,372.0,0,0
2015年2月,249.0,0,0
2015年3月,209.0,0,0
2015年4月,253.0,0,0
2015年5月,183.0,0,0
2015年6月,246.0,0,0
2015年7月,246.0,0,0
2015年8月,163.0,0,0
2015年9月,142.0,0,0
2015年10月,276.0,0,0
2015年11月,304.0,0,0
2015年12月,270.0,0,0
2016年1月,204.0,0,0
2016年2月,187.0,0,0
2016年3月,173.0,0,0
2016年4月,235.0,0,0
2016年5月,207.0,0,0
2016年6月,303.0,0,0
2016年7月,242.0,0,0
2016年8月,133.0,0,0
2016年9月,203.0,0,0
2016年10月,260.0,0,0
2016年11月,315.0,0,0
2016年12月,362.0,0,0
2017年1月,345.0,0,0
2017年2月,221.0,0,0
2017年3月,175.0,0,0
2017年4月,262.0,0,0
2017年5月,271.0,0,0
2017年6月,281.0,0,0
2017年7月,280.0,0,0
2017年8月,233.0,0,0
2017年9月,259.0,0,0
2017年10月,339.0,0,0
2017年11月,409.0,0,0
2017年12月,556.0,0,0
2018年1月,415.0,0,0
2018年2月,289.0,0,0
2018年3月,252.0,0,0
2018年4月,270.0,0,0
2018年5月,389.0,0,0
2018年6月,388.0,0,0
2018年7月,372.0,0,0
2018年8月,290.0,0,0
2018年9月,397.0,0,0
2018年10月,428.0,0,0
2018年11月,506.0,0,0
2018年12月,661.0,0,0
2019年1月,519.0,0,0
2019年2月,371.0,0,0
2019年3月,404.0,0,0
2019年4月,421.0,0,0
2019年5月,397.0,0,0
2019年6月,459.0,0,0
2019年7月,402.0,0,0
2019年8月,360.0,0,0
2019年9月,373.0,0,0
2019年10月,418.0,0,0
2019年11月,596.0,0,0
2019年12月,611.0,0,0
2020年1月,474.0,3,1
2020年2月,414.0,34,23
2020年3月,392.0,489,120
2020年4月,385.0,3748,881
2020年5月,595.0,957,344
2020年6月,734.0,994,133
2020年7月,576.0,6466,983
2020年8月,516.0,8126,2475
