時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,247.0,0,0
2015年2月,238.0,0,0
2015年3月,148.0,0,0
2015年4月,203.0,0,0
2015年5月,142.0,0,0
2015年6月,179.0,0,0
2015年7月,229.0,0,0
2015年8月,186.0,0,0
2015年9月,195.0,0,0
2015年10月,159.0,0,0
2015年11月,156.0,0,0
2015年12月,155.0,0,0
2016年1月,149.0,0,0
2016年2月,103.0,0,0
2016年3月,175.0,0,0
2016年4月,141.0,0,0
2016年5月,246.0,0,0
2016年6月,167.0,0,0
2016年7月,168.0,0,0
2016年8月,139.0,0,0
2016年9月,186.0,0,0
2016年10月,159.0,0,0
2016年11月,195.0,0,0
2016年12月,335.0,0,0
2017年1月,245.0,0,0
2017年2月,243.0,0,0
2017年3月,233.0,0,0
2017年4月,275.0,0,0
2017年5月,272.0,0,0
2017年6月,221.0,0,0
2017年7月,254.0,0,0
2017年8月,239.0,0,0
2017年9月,152.0,0,0
2017年10月,214.0,0,0
2017年11月,239.0,0,0
2017年12月,217.0,0,0
2018年1月,303.0,0,0
2018年2月,180.0,0,0
2018年3月,286.0,0,0
2018年4月,205.0,0,0
2018年5月,211.0,0,0
2018年6月,235.0,0,0
2018年7月,248.0,0,0
2018年8月,237.0,0,0
2018年9月,241.0,0,0
2018年10月,363.0,0,0
2018年11月,404.0,0,0
2018年12月,647.0,0,0
2019年1月,328.0,0,0
2019年2月,344.0,0,0
2019年3月,220.0,0,0
2019年4月,343.0,0,0
2019年5月,195.0,0,0
2019年6月,275.0,0,0
2019年7月,249.0,0,0
2019年8月,397.0,0,0
2019年9月,449.0,0,0
2019年10月,257.0,0,0
2019年11月,349.0,0,0
2019年12月,459.0,0,0
2020年1月,292.0,3,1
2020年2月,290.0,34,23
2020年3月,365.0,489,120
2020年4月,406.0,3748,881
2020年5月,450.0,957,344
2020年6月,495.0,994,133
2020年7月,394.0,6466,983
2020年8月,416.0,8126,2475
