時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,11599.0,0,0
2015年2月,10397.0,0,0
2015年3月,10802.0,0,0
2015年4月,10238.0,0,0
2015年5月,10602.0,0,0
2015年6月,11586.0,0,0
2015年7月,11241.0,0,0
2015年8月,11962.0,0,0
2015年9月,9788.0,0,0
2015年10月,9807.0,0,0
2015年11月,9988.0,0,0
2015年12月,10821.0,0,0
2016年1月,9646.0,0,0
2016年2月,9900.0,0,0
2016年3月,10375.0,0,0
2016年4月,9823.0,0,0
2016年5月,10486.0,0,0
2016年6月,10849.0,0,0
2016年7月,11309.0,0,0
2016年8月,11516.0,0,0
2016年9月,9989.0,0,0
2016年10月,10367.0,0,0
2016年11月,10378.0,0,0
2016年12月,12843.0,0,0
2017年1月,13714.0,0,0
2017年2月,12384.0,0,0
2017年3月,13873.0,0,0
2017年4月,11985.0,0,0
2017年5月,12711.0,0,0
2017年6月,12391.0,0,0
2017年7月,13517.0,0,0
2017年8月,14889.0,0,0
2017年9月,12343.0,0,0
2017年10月,12833.0,0,0
2017年11月,13436.0,0,0
2017年12月,15354.0,0,0
2018年1月,13098.0,0,0
2018年2月,11997.0,0,0
2018年3月,14228.0,0,0
2018年4月,13942.0,0,0
2018年5月,14564.0,0,0
2018年6月,14765.0,0,0
2018年7月,15805.0,0,0
2018年8月,16842.0,0,0
2018年9月,15189.0,0,0
2018年10月,15359.0,0,0
2018年11月,15761.0,0,0
2018年12月,19281.0,0,0
2019年1月,15655.0,0,0
2019年2月,15038.0,0,0
2019年3月,16312.0,0,0
2019年4月,17083.0,0,0
2019年5月,15933.0,0,0
2019年6月,17371.0,0,0
2019年7月,17132.0,0,0
2019年8月,18279.0,0,0
2019年9月,18545.0,0,0
2019年10月,15349.0,0,0
2019年11月,16488.0,0,0
2019年12月,19739.0,0,0
2020年1月,17313.0,3,1
2020年2月,15775.0,34,23
2020年3月,15916.0,489,120
2020年4月,17758.0,3748,881
2020年5月,19479.0,957,344
2020年6月,20456.0,994,133
2020年7月,19447.0,6466,983
2020年8月,20334.0,8126,2475
