時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,525.0,0,0
2015年2月,286.0,0,0
2015年3月,380.0,0,0
2015年4月,359.0,0,0
2015年5月,338.0,0,0
2015年6月,631.0,0,0
2015年7月,853.0,0,0
2015年8月,419.0,0,0
2015年9月,224.0,0,0
2015年10月,218.0,0,0
2015年11月,650.0,0,0
2015年12月,1255.0,0,0
2016年1月,376.0,0,0
2016年2月,246.0,0,0
2016年3月,280.0,0,0
2016年4月,304.0,0,0
2016年5月,297.0,0,0
2016年6月,645.0,0,0
2016年7月,883.0,0,0
2016年8月,405.0,0,0
2016年9月,320.0,0,0
2016年10月,234.0,0,0
2016年11月,658.0,0,0
2016年12月,1482.0,0,0
2017年1月,489.0,0,0
2017年2月,309.0,0,0
2017年3月,377.0,0,0
2017年4月,367.0,0,0
2017年5月,445.0,0,0
2017年6月,774.0,0,0
2017年7月,985.0,0,0
2017年8月,523.0,0,0
2017年9月,382.0,0,0
2017年10月,324.0,0,0
2017年11月,817.0,0,0
2017年12月,1617.0,0,0
2018年1月,407.0,0,0
2018年2月,313.0,0,0
2018年3月,370.0,0,0
2018年4月,406.0,0,0
2018年5月,463.0,0,0
2018年6月,899.0,0,0
2018年7月,976.0,0,0
2018年8月,626.0,0,0
2018年9月,324.0,0,0
2018年10月,460.0,0,0
2018年11月,890.0,0,0
2018年12月,1813.0,0,0
2019年1月,395.0,0,0
2019年2月,385.0,0,0
2019年3月,524.0,0,0
2019年4月,490.0,0,0
2019年5月,497.0,0,0
2019年6月,938.0,0,0
2019年7月,933.0,0,0
2019年8月,565.0,0,0
2019年9月,389.0,0,0
2019年10月,442.0,0,0
2019年11月,889.0,0,0
2019年12月,1736.0,0,0
2020年1月,466.0,3,1
2020年2月,485.0,34,23
2020年3月,482.0,489,120
2020年4月,671.0,3748,881
2020年5月,901.0,957,344
2020年6月,1347.0,994,133
2020年7月,1490.0,6466,983
2020年8月,865.0,8126,2475
