時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,5892.0,0,0
2015年2月,6102.0,0,0
2015年3月,5938.0,0,0
2015年4月,5546.0,0,0
2015年5月,5429.0,0,0
2015年6月,5258.0,0,0
2015年7月,5070.0,0,0
2015年8月,5197.0,0,0
2015年9月,5379.0,0,0
2015年10月,5315.0,0,0
2015年11月,5218.0,0,0
2015年12月,5271.0,0,0
2016年1月,5433.0,0,0
2016年2月,5526.0,0,0
2016年3月,5583.0,0,0
2016年4月,5633.0,0,0
2016年5月,5685.0,0,0
2016年6月,5734.0,0,0
2016年7月,5639.0,0,0
2016年8月,5753.0,0,0
2016年9月,5790.0,0,0
2016年10月,5737.0,0,0
2016年11月,5781.0,0,0
2016年12月,5717.0,0,0
2017年1月,5837.0,0,0
2017年2月,5936.0,0,0
2017年3月,5995.0,0,0
2017年4月,6060.0,0,0
2017年5月,6176.0,0,0
2017年6月,6196.0,0,0
2017年7月,6315.0,0,0
2017年8月,6527.0,0,0
2017年9月,6587.0,0,0
2017年10月,6662.0,0,0
2017年11月,6629.0,0,0
2017年12月,6599.0,0,0
2018年1月,6616.0,0,0
2018年2月,6657.0,0,0
2018年3月,6561.0,0,0
2018年4月,6549.0,0,0
2018年5月,6590.0,0,0
2018年6月,6544.0,0,0
2018年7月,6618.0,0,0
2018年8月,6598.0,0,0
2018年9月,6619.0,0,0
2018年10月,6642.0,0,0
2018年11月,6538.0,0,0
2018年12月,6534.0,0,0
2019年1月,6587.0,0,0
2019年2月,6585.0,0,0
2019年3月,6506.0,0,0
2019年4月,6456.0,0,0
2019年5月,6444.0,0,0
2019年6月,6437.0,0,0
2019年7月,6347.0,0,0
2019年8月,6413.0,0,0
2019年9月,6328.0,0,0
2019年10月,6230.0,0,0
2019年11月,6283.0,0,0
2019年12月,6200.0,0,0
2020年1月,6306.0,3,1
2020年2月,6328.0,34,23
2020年3月,6246.0,489,120
2020年4月,6035.0,3748,881
2020年5月,5941.0,957,344
2020年6月,6170.0,994,133
2020年7月,6380.0,6466,983
2020年8月,6496.0,8126,2475
