時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,46.0,0,0
2015年2月,41.0,0,0
2015年3月,42.0,0,0
2015年4月,57.0,0,0
2015年5月,51.0,0,0
2015年6月,77.0,0,0
2015年7月,67.0,0,0
2015年8月,63.0,0,0
2015年9月,44.0,0,0
2015年10月,60.0,0,0
2015年11月,52.0,0,0
2015年12月,59.0,0,0
2016年1月,53.0,0,0
2016年2月,43.0,0,0
2016年3月,50.0,0,0
2016年4月,42.0,0,0
2016年5月,44.0,0,0
2016年6月,72.0,0,0
2016年7月,65.0,0,0
2016年8月,71.0,0,0
2016年9月,65.0,0,0
2016年10月,79.0,0,0
2016年11月,56.0,0,0
2016年12月,77.0,0,0
2017年1月,90.0,0,0
2017年2月,71.0,0,0
2017年3月,79.0,0,0
2017年4月,85.0,0,0
2017年5月,68.0,0,0
2017年6月,92.0,0,0
2017年7月,74.0,0,0
2017年8月,79.0,0,0
2017年9月,76.0,0,0
2017年10月,68.0,0,0
2017年11月,67.0,0,0
2017年12月,77.0,0,0
2018年1月,100.0,0,0
2018年2月,71.0,0,0
2018年3月,72.0,0,0
2018年4月,108.0,0,0
2018年5月,86.0,0,0
2018年6月,85.0,0,0
2018年7月,106.0,0,0
2018年8月,125.0,0,0
2018年9月,119.0,0,0
2018年10月,123.0,0,0
2018年11月,114.0,0,0
2018年12月,135.0,0,0
2019年1月,130.0,0,0
2019年2月,121.0,0,0
2019年3月,143.0,0,0
2019年4月,164.0,0,0
2019年5月,118.0,0,0
2019年6月,116.0,0,0
2019年7月,125.0,0,0
2019年8月,125.0,0,0
2019年9月,135.0,0,0
2019年10月,117.0,0,0
2019年11月,137.0,0,0
2019年12月,133.0,0,0
2020年1月,155.0,3,1
2020年2月,166.0,34,23
2020年3月,182.0,489,120
2020年4月,193.0,3748,881
2020年5月,227.0,957,344
2020年6月,192.0,994,133
2020年7月,176.0,6466,983
2020年8月,205.0,8126,2475
