時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,363.0,0,0
2015年2月,308.0,0,0
2015年3月,258.0,0,0
2015年4月,330.0,0,0
2015年5月,277.0,0,0
2015年6月,320.0,0,0
2015年7月,280.0,0,0
2015年8月,303.0,0,0
2015年9月,323.0,0,0
2015年10月,257.0,0,0
2015年11月,320.0,0,0
2015年12月,412.0,0,0
2016年1月,327.0,0,0
2016年2月,332.0,0,0
2016年3月,238.0,0,0
2016年4月,221.0,0,0
2016年5月,228.0,0,0
2016年6月,222.0,0,0
2016年7月,265.0,0,0
2016年8月,258.0,0,0
2016年9月,272.0,0,0
2016年10月,307.0,0,0
2016年11月,294.0,0,0
2016年12月,367.0,0,0
2017年1月,304.0,0,0
2017年2月,320.0,0,0
2017年3月,424.0,0,0
2017年4月,297.0,0,0
2017年5月,367.0,0,0
2017年6月,340.0,0,0
2017年7月,392.0,0,0
2017年8月,310.0,0,0
2017年9月,357.0,0,0
2017年10月,377.0,0,0
2017年11月,378.0,0,0
2017年12月,449.0,0,0
2018年1月,334.0,0,0
2018年2月,300.0,0,0
2018年3月,350.0,0,0
2018年4月,383.0,0,0
2018年5月,372.0,0,0
2018年6月,376.0,0,0
2018年7月,383.0,0,0
2018年8月,390.0,0,0
2018年9月,360.0,0,0
2018年10月,353.0,0,0
2018年11月,357.0,0,0
2018年12月,559.0,0,0
2019年1月,439.0,0,0
2019年2月,404.0,0,0
2019年3月,393.0,0,0
2019年4月,324.0,0,0
2019年5月,335.0,0,0
2019年6月,371.0,0,0
2019年7月,338.0,0,0
2019年8月,403.0,0,0
2019年9月,396.0,0,0
2019年10月,360.0,0,0
2019年11月,428.0,0,0
2019年12月,519.0,0,0
2020年1月,399.0,3,1
2020年2月,374.0,34,23
2020年3月,479.0,489,120
2020年4月,525.0,3748,881
2020年5月,563.0,957,344
2020年6月,560.0,994,133
2020年7月,513.0,6466,983
2020年8月,565.0,8126,2475
