時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,1465.0,0,0
2015年2月,1338.0,0,0
2015年3月,1389.0,0,0
2015年4月,1392.0,0,0
2015年5月,1416.0,0,0
2015年6月,1320.0,0,0
2015年7月,1303.0,0,0
2015年8月,1126.0,0,0
2015年9月,1273.0,0,0
2015年10月,1341.0,0,0
2015年11月,1302.0,0,0
2015年12月,1686.0,0,0
2016年1月,1401.0,0,0
2016年2月,1266.0,0,0
2016年3月,1256.0,0,0
2016年4月,1364.0,0,0
2016年5月,1478.0,0,0
2016年6月,1551.0,0,0
2016年7月,1592.0,0,0
2016年8月,1544.0,0,0
2016年9月,1506.0,0,0
2016年10月,1437.0,0,0
2016年11月,1545.0,0,0
2016年12月,2212.0,0,0
2017年1月,1954.0,0,0
2017年2月,1915.0,0,0
2017年3月,1810.0,0,0
2017年4月,1600.0,0,0
2017年5月,1481.0,0,0
2017年6月,1517.0,0,0
2017年7月,1493.0,0,0
2017年8月,1466.0,0,0
2017年9月,1452.0,0,0
2017年10月,1567.0,0,0
2017年11月,1681.0,0,0
2017年12月,2145.0,0,0
2018年1月,1583.0,0,0
2018年2月,1488.0,0,0
2018年3月,1539.0,0,0
2018年4月,1438.0,0,0
2018年5月,1650.0,0,0
2018年6月,1641.0,0,0
2018年7月,1804.0,0,0
2018年8月,1752.0,0,0
2018年9月,1935.0,0,0
2018年10月,1899.0,0,0
2018年11月,2117.0,0,0
2018年12月,2755.0,0,0
2019年1月,2093.0,0,0
2019年2月,1995.0,0,0
2019年3月,1965.0,0,0
2019年4月,1993.0,0,0
2019年5月,1981.0,0,0
2019年6月,1868.0,0,0
2019年7月,1840.0,0,0
2019年8月,1796.0,0,0
2019年9月,1884.0,0,0
2019年10月,1815.0,0,0
2019年11月,1954.0,0,0
2019年12月,2778.0,0,0
2020年1月,2176.0,3,1
2020年2月,2097.0,34,23
2020年3月,2372.0,489,120
2020年4月,3109.0,3748,881
2020年5月,3598.0,957,344
2020年6月,3444.0,994,133
2020年7月,3178.0,6466,983
2020年8月,3030.0,8126,2475
