時間軸（月次・四半期・年次）,関東,東京都内感染者数,神奈川県内感染者数
2015年1月,340.0,0,0
2015年2月,318.0,0,0
2015年3月,356.0,0,0
2015年4月,302.0,0,0
2015年5月,351.0,0,0
2015年6月,356.0,0,0
2015年7月,350.0,0,0
2015年8月,378.0,0,0
2015年9月,314.0,0,0
2015年10月,297.0,0,0
2015年11月,278.0,0,0
2015年12月,336.0,0,0
2016年1月,259.0,0,0
2016年2月,256.0,0,0
2016年3月,272.0,0,0
2016年4月,297.0,0,0
2016年5月,436.0,0,0
2016年6月,405.0,0,0
2016年7月,347.0,0,0
2016年8月,341.0,0,0
2016年9月,382.0,0,0
2016年10月,348.0,0,0
2016年11月,329.0,0,0
2016年12月,426.0,0,0
2017年1月,400.0,0,0
2017年2月,466.0,0,0
2017年3月,465.0,0,0
2017年4月,404.0,0,0
2017年5月,416.0,0,0
2017年6月,457.0,0,0
2017年7月,450.0,0,0
2017年8月,445.0,0,0
2017年9月,426.0,0,0
2017年10月,359.0,0,0
2017年11月,405.0,0,0
2017年12月,505.0,0,0
2018年1月,404.0,0,0
2018年2月,379.0,0,0
2018年3月,416.0,0,0
2018年4月,434.0,0,0
2018年5月,450.0,0,0
2018年6月,474.0,0,0
2018年7月,557.0,0,0
2018年8月,530.0,0,0
2018年9月,539.0,0,0
2018年10月,531.0,0,0
2018年11月,530.0,0,0
2018年12月,611.0,0,0
2019年1月,493.0,0,0
2019年2月,477.0,0,0
2019年3月,487.0,0,0
2019年4月,521.0,0,0
2019年5月,521.0,0,0
2019年6月,584.0,0,0
2019年7月,534.0,0,0
2019年8月,571.0,0,0
2019年9月,605.0,0,0
2019年10月,524.0,0,0
2019年11月,511.0,0,0
2019年12月,675.0,0,0
2020年1月,562.0,3,1
2020年2月,583.0,34,23
2020年3月,595.0,489,120
2020年4月,789.0,3748,881
2020年5月,873.0,957,344
2020年6月,869.0,994,133
2020年7月,812.0,6466,983
2020年8月,875.0,8126,2475
